"","Date","Source","Site.ID","POC","Daily.Max.8.hour.Ozone.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1","01/01/2010","AQS",371190041,1,0.031,"ppm",29,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
"2","01/02/2010","AQS",371190041,1,0.033,"ppm",31,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
"3","01/03/2010","AQS",371190041,1,0.035,"ppm",32,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
"4","01/04/2010","AQS",371190041,1,0.031,"ppm",29,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
"5","01/05/2010","AQS",371190041,1,0.027,"ppm",25,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
"6","01/07/2010","AQS",371190041,1,0.033,"ppm",31,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
"7","01/08/2010","AQS",371190041,1,0.035,"ppm",32,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
"8","01/09/2010","AQS",371190041,1,0.032,"ppm",30,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
"9","01/10/2010","AQS",371190041,1,0.032,"ppm",30,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
"10","01/11/2010","AQS",371190041,1,0.03,"ppm",28,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
"11","01/12/2010","AQS",371190041,1,0.026,"ppm",24,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
"12","01/16/2010","AQS",371190041,1,0.035,"ppm",32,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
"13","01/17/2010","AQS",371190041,1,0.028,"ppm",26,"Garinger High School",17,100,44201,"Ozone",16740,"Charlotte-Concord-Gastonia, NC-SC",37,"North Carolina",119,"Mecklenburg",35.2401000008895,-80.785683
